zip,lat,lng
40591,51.1879547,6.8173593
40593,51.1403079,6.8685413
40595,51.140778,6.905068099999999
40597,51.1637947,6.871023399999999
40599,51.1824951,6.865698
40625,51.2358442,6.852315399999999
40627,51.2024446,6.8838823
40629,51.2550414,6.8836115
40667,51.2505,6.690188699999999
40668,51.308706,6.6842969
40670,51.2701556,6.6220978
40699,51.2208468,6.928271199999999
40721,51.169054,6.9153961
40723,51.1544727,6.940116799999999
40724,51.1770783,6.957192399999999
40764,51.118985,6.962567699999999
40789,51.0966108,6.8974365
40822,51.25439069999999,6.9831962
40878,51.2964433,6.8506277
40880,51.301145,6.8152244
40882,51.3005563,6.914847399999999
40883,51.3300918,6.9097177
40885,51.3411368,6.851654
41061,51.1941892,6.429517199999999
41063,51.2076921,6.4227663
41065,51.19517,6.4593441
41066,51.2262928,6.4665644
41068,51.1987421,6.394406699999999
41069,51.180057,6.3999735
41169,51.2015715,6.342495599999999
41179,51.1642093,6.3536759
41189,51.1143829,6.401299499999999
41199,51.1329676,6.4449432
41236,51.1668326,6.449492299999999
41238,51.1619037,6.4910825
41239,51.1654923,6.4261842
41334,51.3262794,6.272100099999999
41352,51.1956517,6.545060899999999
41363,51.0934811,6.494853699999999
41366,51.2113052,6.259379399999999
41372,51.2168087,6.155755099999999
41379,51.2583557,6.1649406
41460,51.2075211,6.706313499999999
41462,51.2153172,6.6619119
41464,51.1910608,6.672621899999999
41466,51.1605128,6.7016069
41468,51.1615558,6.774528999999999
41469,51.1590145,6.727658799999999
41470,51.1375502,6.7356786
41472,51.1690416,6.6442567
41515,51.08212109999999,6.603842999999999
41516,51.1068955,6.6294561
41517,51.04627319999999,6.588794
41539,51.0996802,6.8453187
41540,51.0812746,6.8012013
41541,51.132252,6.8268745
41542,51.09943930000001,6.7594436
41564,51.2134619,6.602028000000001
41569,51.0514549,6.6820125
41747,51.2520558,6.380321299999999
41748,51.2395387,6.4169437
41749,51.2901799,6.3561159
41751,51.25004089999999,6.3206577
41812,51.07164600000001,6.3195429
41836,51.0454321,6.222254899999999
41844,51.1490546,6.245415299999999
41849,51.1130534,6.1328887
42103,51.2554934,7.146606599999999
42105,51.2623662,7.1417099
42107,51.262393,7.1552397
42109,51.2771687,7.157783299999999
42111,51.2932651,7.1679237
42113,51.2735765,7.1013566
42115,51.2533735,7.1170563
42117,51.2438036,7.133836899999999
42119,51.241269,7.156482899999999
42275,51.27362120000001,7.205441100000001
42277,51.2831824,7.215241700000001
42279,51.29659119999999,7.2409927
42281,51.2866862,7.188234700000001
42283,51.2711403,7.184218400000001
42285,51.256002,7.1736304
42287,51.2500514,7.1972592
42289,51.26894069999999,7.211937799999999
42327,51.2440784,7.0671702
42329,51.2266111,7.0697027
42349,51.20343740000001,7.130101199999999
42369,51.22569739999999,7.195853599999999
