zipcode,centroid_longitude,centroid_latitude,municipality_ags,municipality_ars,municipality_name,municipality_designation,municipality_display_name,district_ars,district_name,district_designation,district_display_name,federal_state_code,federal_state_name,assignment_method,distance_to_municipality_m
33181,8.7514254,51.5047092,05774040,057740040040,Bad Wünnenberg,Stadt,"Bad Wünnenberg, Stadt",000000005774,Paderborn,Kreis,"Paderborn, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33184,8.939711899999999,51.745145,05774004,057740004004,Altenbeken,Gemeinde,"Altenbeken, Gemeinde",000000005774,Paderborn,Kreis,"Paderborn, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33189,8.8023317,51.8406829,05766064,057660064064,Schlangen,Gemeinde,"Schlangen, Gemeinde",000000005766,Lippe,Kreis,"Lippe, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33330,8.369734900000001,51.909671,05754008,057540008008,Gütersloh,Stadt,"Gütersloh, Stadt",000000005754,Gütersloh,Kreis,"Gütersloh, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33332,8.3938455,51.897298,05754008,057540008008,Gütersloh,Stadt,"Gütersloh, Stadt",000000005754,Gütersloh,Kreis,"Gütersloh, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33334,8.4012859,51.944695,05754008,057540008008,Gütersloh,Stadt,"Gütersloh, Stadt",000000005754,Gütersloh,Kreis,"Gütersloh, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33335,8.4495493,51.9199178,05754008,057540008008,Gütersloh,Stadt,"Gütersloh, Stadt",000000005754,Gütersloh,Kreis,"Gütersloh, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33378,8.2985134,51.8349207,05754028,057540028028,Rheda-Wiedenbrück,Stadt,"Rheda-Wiedenbrück, Stadt",000000005754,Gütersloh,Kreis,"Gütersloh, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33397,8.3946686,51.7855342,05754032,057540032032,Rietberg,Stadt,"Rietberg, Stadt",000000005754,Gütersloh,Kreis,"Gütersloh, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33415,8.529086699999999,51.86091279999999,05754044,057540044044,Verl,Stadt,"Verl, Stadt",000000005754,Gütersloh,Kreis,"Gütersloh, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33428,8.1724753,51.9715241,05754016,057540016016,Harsewinkel,Stadt,"Harsewinkel, Stadt",000000005754,Gütersloh,Kreis,"Gütersloh, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33442,8.2188923,51.8937329,05754020,057540020020,Herzebrock-Clarholz,Gemeinde,"Herzebrock-Clarholz, Gemeinde",000000005754,Gütersloh,Kreis,"Gütersloh, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33449,8.3236176,51.77997999999999,05754024,057540024024,Langenberg,Gemeinde,"Langenberg, Gemeinde",000000005754,Gütersloh,Kreis,"Gütersloh, Kreis",05,Nordrhein-Westfalen,polygon_intersects,0.0
33602,8.5337526,52.0230903,05711000,057110000000,Bielefeld,Stadt,"Bielefeld, Stadt",000000005711,Bielefeld,Kreisfreie Stadt,"Bielefeld, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
33604,8.5482855,52.00664339999999,05711000,057110000000,Bielefeld,Stadt,"Bielefeld, Stadt",000000005711,Bielefeld,Kreisfreie Stadt,"Bielefeld, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
33605,8.5795134,52.0010807,05711000,057110000000,Bielefeld,Stadt,"Bielefeld, Stadt",000000005711,Bielefeld,Kreisfreie Stadt,"Bielefeld, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
33607,8.5749022,52.0200879,05711000,057110000000,Bielefeld,Stadt,"Bielefeld, Stadt",000000005711,Bielefeld,Kreisfreie Stadt,"Bielefeld, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
33609,8.574527999999999,52.0414585,05711000,057110000000,Bielefeld,Stadt,"Bielefeld, Stadt",000000005711,Bielefeld,Kreisfreie Stadt,"Bielefeld, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
33611,8.548692299999999,52.04868159999999,05711000,057110000000,Bielefeld,Stadt,"Bielefeld, Stadt",000000005711,Bielefeld,Kreisfreie Stadt,"Bielefeld, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
33613,8.5214223,52.0499345,05711000,057110000000,Bielefeld,Stadt,"Bielefeld, Stadt",000000005711,Bielefeld,Kreisfreie Stadt,"Bielefeld, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
33615,8.5079382,52.0303012,05711000,057110000000,Bielefeld,Stadt,"Bielefeld, Stadt",000000005711,Bielefeld,Kreisfreie Stadt,"Bielefeld, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
33617,8.5246804,52.005081,05711000,057110000000,Bielefeld,Stadt,"Bielefeld, Stadt",000000005711,Bielefeld,Kreisfreie Stadt,"Bielefeld, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
33619,8.4770585,52.0404442,05711000,057110000000,Bielefeld,Stadt,"Bielefeld, Stadt",000000005711,Bielefeld,Kreisfreie Stadt,"Bielefeld, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
33647,8.5045443,51.9852138,05711000,057110000000,Bielefeld,Stadt,"Bielefeld, Stadt",000000005711,Bielefeld,Kreisfreie Stadt,"Bielefeld, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
33649,8.4602772,51.97775499999999,05711000,057110000000,Bielefeld,Stadt,"Bielefeld, Stadt",000000005711,Bielefeld,Kreisfreie Stadt,"Bielefeld, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
33659,8.5170368,51.9576538,05711000,057110000000,Bielefeld,Stadt,"Bielefeld, Stadt",000000005711,Bielefeld,Kreisfreie Stadt,"Bielefeld, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
33689,8.5991676,51.9516551,05711000,057110000000,Bielefeld,Stadt,"Bielefeld, Stadt",000000005711,Bielefeld,Kreisfreie Stadt,"Bielefeld, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
33699,8.6174004,51.9876349,05711000,057110000000,Bielefeld,Stadt,"Bielefeld, Stadt",000000005711,Bielefeld,Kreisfreie Stadt,"Bielefeld, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
33719,8.6134521,52.0199295,05711000,057110000000,Bielefeld,Stadt,"Bielefeld, Stadt",000000005711,Bielefeld,Kreisfreie Stadt,"Bielefeld, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
33729,8.6062946,52.0701622,05711000,057110000000,Bielefeld,Stadt,"Bielefeld, Stadt",000000005711,Bielefeld,Kreisfreie Stadt,"Bielefeld, Kreisfreie Stadt",05,Nordrhein-Westfalen,polygon_intersects,0.0
